City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,281.15,72,100,5.64,ZA,1694392978
1,enewetak,11.3474,162.3373,302.33,71,64,4.33,MH,1694392978
2,nuuk,64.1835,-51.7216,275.49,93,100,2.57,GL,1694392978
3,fale old settlement,-9.3852,-171.2468,301.36,75,51,3.87,TK,1694392978
4,hawaiian paradise park,19.5933,-154.9731,300.95,72,40,3.6,US,1694392979
5,basco,20.4487,121.9702,301.15,79,100,7.3,PH,1694392979
6,leava,-14.3,-178.1667,299.9,74,12,6.88,WF,1694392979
7,grytviken,-54.2811,-36.5092,270.73,84,99,3.11,GS,1694392979
8,traralgon,-38.1833,146.5333,288.04,58,68,2.41,AU,1694392980
9,adamstown,-25.066,-130.1015,294.59,89,11,7.37,PN,1694392980
10,constantia,44.1833,28.65,285.76,53,0,3.58,RO,1694392980
11,arkadelphia,34.1209,-93.0538,302.69,69,0,0.0,US,1694392750
12,blackmans bay,-43.0167,147.3167,283.44,65,100,1.62,AU,1694392980
13,port mathurin,-19.6833,63.4167,295.9,72,54,9.24,MU,1694392981
14,gadzhiyevo,69.2551,33.3362,283.64,81,95,2.02,RU,1694392981
15,puerto ayora,-0.7393,-90.3518,296.79,93,51,2.68,EC,1694392981
16,mossel bay,-34.1831,22.146,283.11,72,100,8.25,ZA,1694392982
17,bayganin,48.6947,55.8742,286.03,71,100,2.75,KZ,1694392982
18,al bayda',32.7627,21.7551,291.83,87,100,11.3,LY,1694392982
19,edinburgh of the seven seas,-37.0676,-12.3116,285.96,77,100,13.62,SH,1694392982
20,margaret river,-33.95,115.0667,290.88,77,9,6.35,AU,1694392983
21,college,64.8569,-147.8028,289.12,52,40,1.54,US,1694392983
22,port-aux-francais,-49.35,70.2167,275.61,68,97,7.27,TF,1694392983
23,ilulissat,69.2167,-51.1,274.16,75,75,0.0,GL,1694392983
24,aswan,24.0934,32.907,306.76,18,0,1.54,EG,1694392984
25,argo,37.6333,22.7333,295.25,58,0,7.45,GR,1694392984
26,castillos,-34.1667,-53.8333,286.31,97,99,2.31,UY,1694392984
27,longyearbyen,78.2186,15.6401,275.06,69,75,2.06,SJ,1694392984
28,iskateley,67.6803,53.1512,283.81,93,16,5.62,RU,1694392985
29,crane,31.3974,-102.3501,305.48,26,7,5.45,US,1694392985
30,chonchi,-42.6128,-73.8092,281.55,92,100,1.73,CL,1694392985
31,puerto natales,-51.7236,-72.4875,275.36,97,100,0.13,CL,1694392985
32,waitangi,-43.9535,-176.5597,287.49,82,31,4.47,NZ,1694392986
33,zagan,51.6176,15.3149,294.81,82,11,1.59,PL,1694392986
34,la'ie,21.6477,-157.9253,304.13,64,9,3.13,US,1694392986
35,west island,-12.1568,96.8225,298.14,78,11,4.63,CC,1694392986
36,albany,42.6001,-73.9662,294.7,91,99,1.16,US,1694392883
37,stanley,54.868,-1.6985,289.42,97,20,1.54,GB,1694392987
38,gao,16.6362,1.637,307.32,36,15,2.14,ML,1694392987
39,haimen,23.1935,116.6142,300.09,79,12,1.06,CN,1694392987
40,labrador city,52.9463,-66.9114,283.1,87,75,0.0,CA,1694392988
41,thompson,55.7435,-97.8558,287.24,51,20,1.03,CA,1694392938
42,qaqortoq,60.7167,-46.0333,277.24,85,100,1.18,GL,1694392988
43,st. john's,47.5649,-52.7093,293.86,94,75,5.66,CA,1694392868
44,marka,1.7159,44.7717,297.9,89,66,5.16,SO,1694392989
45,port hedland,-20.3167,118.5667,300.18,41,14,1.54,AU,1694392989
46,iqaluit,63.7506,-68.5145,278.0,80,100,1.54,CA,1694392989
47,whitehorse,60.7161,-135.0538,291.58,36,75,6.71,CA,1694392811
48,papao,-17.75,-149.55,300.97,77,1,6.5,PF,1694392991
49,san patricio,28.017,-97.5169,307.12,56,0,5.2,US,1694392991
50,dudinka,69.4058,86.1778,284.05,98,100,5.05,RU,1694392991
51,oum hadjer,13.2954,19.6966,300.88,55,100,5.24,TD,1694392992
52,utrik,11.2278,169.8474,301.96,76,100,5.61,MH,1694392992
53,iquique,-20.2208,-70.1431,291.17,82,22,2.04,CL,1694392865
54,hamilton,39.1834,-84.5333,296.88,70,40,3.09,US,1694392985
55,carnarvon,-24.8667,113.6333,292.88,72,4,1.34,AU,1694392993
56,tura,25.5198,90.2201,298.92,88,100,0.87,IN,1694392993
57,likiep,9.8251,169.3107,301.9,76,95,4.69,MH,1694392993
58,mahina,-17.5065,-149.489,301.02,69,75,4.12,PF,1694392993
59,howrah,22.5892,88.3103,301.15,94,40,0.0,IN,1694392994
60,opuwo,-18.0607,13.84,289.45,49,6,2.83,NA,1694392994
61,kapuvar,47.5922,17.0289,288.29,62,4,3.17,HU,1694392994
62,vila franca do campo,37.7167,-25.4333,292.38,83,0,1.38,PT,1694392994
63,lebu,-37.6167,-73.65,283.57,90,100,3.69,CL,1694392995
64,kone,-21.0595,164.8658,299.82,47,2,3.35,NC,1694392995
65,taoudenni,22.6783,-3.9836,308.17,27,64,8.6,ML,1694392995
66,ribeira grande,38.5167,-28.7,293.02,85,6,2.68,PT,1694392996
67,ribeirao branco,-24.2208,-48.7656,288.08,98,41,1.74,BR,1694392996
68,calvinia,-31.4707,19.776,275.69,94,100,7.37,ZA,1694392996
69,harstad,68.799,16.5293,283.81,91,45,5.36,NO,1694392996
70,kodiak,57.79,-152.4072,283.88,76,100,4.12,US,1694392997
71,bol,13.4586,14.7147,301.24,79,100,4.04,TD,1694392997
72,nikol'sk,53.7189,46.0712,283.2,69,100,2.98,RU,1694392997
73,hasaki,35.7333,140.8333,303.31,81,100,3.5,JP,1694392758
74,muleshoe,34.2265,-102.7238,302.95,37,33,8.26,US,1694392999
75,ta`u,-14.2336,-169.5144,299.9,76,63,3.77,AS,1694392999
76,isangel,-19.55,169.2667,300.21,69,40,5.14,VU,1694392999
77,hell-ville,-13.4,48.2667,297.59,73,6,3.17,MG,1694393000
78,pacific grove,36.6177,-121.9166,295.27,78,0,3.09,US,1694392797
79,barmer,25.75,71.3833,297.84,79,100,4.58,IN,1694393001
80,kudahuvadhoo,2.6708,72.8944,301.32,74,73,4.64,MV,1694393001
81,grootfontein,-19.5667,18.1167,295.91,25,44,3.09,NA,1694393002
82,joutseno,61.118,28.5076,286.78,94,93,1.71,FI,1694393002
83,nar'yan-mar,67.6713,53.087,283.86,93,16,5.63,RU,1694393002
84,port macquarie,-31.4333,152.9167,292.53,50,15,3.78,AU,1694393002
85,wailua homesteads,22.0669,-159.378,303.39,72,40,6.17,US,1694393003
86,bethel,41.3712,-73.414,295.73,89,0,2.06,US,1694392977
87,naze,28.3667,129.4833,300.66,71,73,3.91,JP,1694393003
88,badger,64.8,-147.5333,289.08,55,20,1.54,US,1694393003
89,lujan,-34.5703,-59.105,289.83,89,100,3.42,AR,1694393004
90,tiksi,71.6872,128.8694,279.33,55,0,6.95,RU,1694393004
91,salalah,17.0151,54.0924,301.2,94,75,3.09,OM,1694393004
92,saipan,15.1355,145.701,302.54,79,40,6.69,MP,1694393004
93,uturoa,-16.7333,-151.4333,299.46,76,2,4.75,PF,1694393004
94,punta arenas,-53.15,-70.9167,277.21,93,100,5.14,CL,1694392853
95,tenkodogo,11.78,-0.3697,298.26,77,38,2.89,BF,1694393005
96,lethem,3.3803,-59.7968,302.04,52,28,2.67,GY,1694393005
97,papatowai,-46.5619,169.4708,279.38,83,100,5.92,NZ,1694393005
98,akjoujt,19.6969,-14.4164,307.29,37,11,2.5,MR,1694393006
99,staroyur'yevo,53.3161,40.7081,285.95,82,100,2.33,RU,1694393006
100,chumphon,10.3333,98.8333,296.39,92,100,0.42,TH,1694393006
101,tazovsky,67.4667,78.7,283.13,84,100,5.21,RU,1694393006
102,bandarbeyla,9.4942,50.8122,299.58,72,100,9.31,SO,1694393007
103,misratah,32.3754,15.0925,298.65,68,47,4.18,LY,1694393007
104,santa rosa de copan,14.7667,-88.7833,297.79,73,40,2.06,HN,1694393007
105,tralee,52.2704,-9.7026,288.61,96,100,1.8,IE,1694393007
106,san miguel,13.4833,-88.1833,297.96,95,80,2.39,SV,1694393007
107,puerto palomas,31.7667,-107.6167,308.17,14,100,2.5,MX,1694393008
108,la passe,45.5549,-0.8967,294.28,92,100,2.98,FR,1694393008
